太陽總輻射 (兆焦耳/平方米) - 京士柏
Global Solar Radiation (MJ/m&sup2;) - King's Park
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2026,6,18,1.69,C
2026,6,19,15.55,C
2026,6,20,17.73,C
2026,6,21,25.78,C
2026,6,22,28.47,C
2026,6,23,20.96,C
2026,6,24,21.18,C
