date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-03-05,3.37,C,92.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-03-06,3.32,C,80.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-03-07,4.5,C,81.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-03-08,16.5,C,71.0,C,5.0,C,official_open_data,official_open_data,official_open_data
2025-03-09,20.79,C,67.0,C,8.2,C,official_open_data,official_open_data,official_open_data
2025-03-10,16.09,C,69.0,C,6.0,C,official_open_data,official_open_data,official_open_data
2025-03-11,12.4,C,75.0,C,0.7,C,official_open_data,official_open_data,official_open_data
2025-03-12,5.87,C,86.0,C,0.5,C,official_open_data,official_open_data,official_open_data
2025-03-13,17.35,C,82.0,C,6.6,C,official_open_data,official_open_data,official_open_data
2025-03-14,9.67,C,92.0,C,0.1,C,official_open_data,official_open_data,official_open_data
2025-03-15,15.38,C,88.0,C,5.0,C,official_open_data,official_open_data,official_open_data
2025-03-16,18.99,C,52.0,C,8.2,C,official_open_data,official_open_data,official_open_data
2025-03-17,9.29,C,48.0,C,0.8,C,official_open_data,official_open_data,official_open_data
2025-03-18,11.06,C,49.0,C,0.8,C,official_open_data,official_open_data,official_open_data
2025-03-19,23.81,C,50.0,C,10.9,C,official_open_data,official_open_data,official_open_data
2025-03-20,24.11,C,59.0,C,11.0,C,official_open_data,official_open_data,official_open_data
2025-03-21,23.99,C,56.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-03-22,24.33,C,59.0,C,11.2,C,official_open_data,official_open_data,official_open_data
2025-03-23,23.72,C,62.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-03-24,23.2,C,58.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-03-25,23.11,C,60.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-03-26,21.21,C,78.0,C,10.4,C,official_open_data,official_open_data,official_open_data
2025-03-27,11.05,C,79.0,C,2.0,C,official_open_data,official_open_data,official_open_data
2025-03-28,11.02,C,88.0,C,2.0,C,official_open_data,official_open_data,official_open_data
2025-03-29,2.66,C,83.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-03-30,5.66,C,81.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-03-31,3.48,C,81.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-04-01,16.61,C,65.0,C,5.5,C,official_open_data,official_open_data,official_open_data
2025-04-02,21.4,C,60.0,C,10.5,C,official_open_data,official_open_data,official_open_data
2025-04-03,22.68,C,53.0,C,10.9,C,official_open_data,official_open_data,official_open_data
2025-04-04,10.52,C,70.0,C,2.6,C,official_open_data,official_open_data,official_open_data
2025-04-05,2.18,C,89.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-04-06,9.68,C,72.0,C,2.3,C,official_open_data,official_open_data,official_open_data
2025-04-07,22.85,C,61.0,C,10.0,C,official_open_data,official_open_data,official_open_data
2025-04-08,18.34,C,72.0,C,5.9,C,official_open_data,official_open_data,official_open_data
2025-04-09,20.19,C,77.0,C,7.5,C,official_open_data,official_open_data,official_open_data
2025-04-10,17.5,C,81.0,C,6.9,C,official_open_data,official_open_data,official_open_data
2025-04-11,8.96,C,87.0,C,0.6,C,official_open_data,official_open_data,official_open_data
2025-04-12,4.07,C,81.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-04-13,13.74,C,27.0,C,2.6,C,official_open_data,official_open_data,official_open_data
2025-04-14,24.02,C,48.0,C,11.0,C,official_open_data,official_open_data,official_open_data
