date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-11-09,13.87,C,73.0,C,7.2,C,official_open_data,official_open_data,official_open_data
2025-11-10,16.01,C,64.0,C,9.4,C,official_open_data,official_open_data,official_open_data
2025-11-11,2.76,C,64.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-11-12,17.0,C,61.0,C,8.7,C,official_open_data,official_open_data,official_open_data
2025-11-13,11.85,C,69.0,C,2.5,C,official_open_data,official_open_data,official_open_data
2025-11-14,17.62,C,72.0,C,7.8,C,official_open_data,official_open_data,official_open_data
2025-11-15,14.71,C,63.0,C,6.2,C,official_open_data,official_open_data,official_open_data
2025-11-16,18.22,C,72.0,C,9.5,C,official_open_data,official_open_data,official_open_data
2025-11-17,17.84,C,74.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-11-18,13.67,C,56.0,C,5.0,C,official_open_data,official_open_data,official_open_data
2025-11-19,6.64,C,36.0,C,0.7,C,official_open_data,official_open_data,official_open_data
2025-11-20,6.81,C,33.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-11-21,14.74,C,34.0,C,6.0,C,official_open_data,official_open_data,official_open_data
2025-11-22,17.8,C,50.0,C,9.9,C,official_open_data,official_open_data,official_open_data
2025-11-23,16.46,C,67.0,C,8.8,C,official_open_data,official_open_data,official_open_data
2025-11-24,14.44,C,63.0,C,6.9,C,official_open_data,official_open_data,official_open_data
2025-11-25,17.95,C,30.0,C,9.7,C,official_open_data,official_open_data,official_open_data
2025-11-26,16.82,C,43.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-11-27,15.05,C,24.0,C,7.1,C,official_open_data,official_open_data,official_open_data
2025-11-28,18.27,C,32.0,C,9.8,C,official_open_data,official_open_data,official_open_data
2025-11-29,14.29,C,53.0,C,8.6,C,official_open_data,official_open_data,official_open_data
2025-11-30,8.45,C,63.0,C,0.6,C,official_open_data,official_open_data,official_open_data
2025-12-01,11.18,C,79.0,C,4.3,C,official_open_data,official_open_data,official_open_data
2025-12-02,10.95,C,76.0,C,3.6,C,official_open_data,official_open_data,official_open_data
2025-12-03,5.53,C,65.0,C,0.8,C,official_open_data,official_open_data,official_open_data
2025-12-04,6.98,C,73.0,C,1.4,C,official_open_data,official_open_data,official_open_data
2025-12-05,14.05,C,73.0,C,8.0,C,official_open_data,official_open_data,official_open_data
2025-12-06,14.8,C,74.0,C,8.5,C,official_open_data,official_open_data,official_open_data
2025-12-07,11.6,C,72.0,C,4.7,C,official_open_data,official_open_data,official_open_data
2025-12-08,16.77,C,57.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-12-09,16.82,C,67.0,C,9.6,C,official_open_data,official_open_data,official_open_data
2025-12-10,4.47,C,80.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-12-11,13.31,C,69.0,C,6.1,C,official_open_data,official_open_data,official_open_data
2025-12-12,15.3,C,71.0,C,8.8,C,official_open_data,official_open_data,official_open_data
2025-12-13,6.08,C,71.0,C,0.6,C,official_open_data,official_open_data,official_open_data
2025-12-14,10.29,C,42.0,C,2.3,C,official_open_data,official_open_data,official_open_data
2025-12-15,17.01,C,52.0,C,9.5,C,official_open_data,official_open_data,official_open_data
2025-12-16,16.65,C,69.0,C,9.5,C,official_open_data,official_open_data,official_open_data
2025-12-17,16.76,C,69.0,C,9.5,C,official_open_data,official_open_data,official_open_data
2025-12-18,12.35,C,74.0,C,5.7,C,official_open_data,official_open_data,official_open_data
2025-12-19,10.68,C,75.0,C,3.8,C,official_open_data,official_open_data,official_open_data
2025-12-20,11.83,C,61.0,C,5.2,C,official_open_data,official_open_data,official_open_data
2025-12-21,16.49,C,74.0,C,9.4,C,official_open_data,official_open_data,official_open_data
2025-12-22,10.19,C,75.0,C,3.8,C,official_open_data,official_open_data,official_open_data
2025-12-23,5.46,C,74.0,C,0.7,C,official_open_data,official_open_data,official_open_data
2025-12-24,11.22,C,78.0,C,5.5,C,official_open_data,official_open_data,official_open_data
2025-12-25,10.03,C,63.0,C,3.9,C,official_open_data,official_open_data,official_open_data
2025-12-26,4.23,C,58.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-12-27,15.0,C,66.0,C,7.6,C,official_open_data,official_open_data,official_open_data
2025-12-28,11.53,C,71.0,C,5.5,C,official_open_data,official_open_data,official_open_data
2025-12-29,13.77,C,75.0,C,7.2,C,official_open_data,official_open_data,official_open_data
2025-12-30,13.04,C,73.0,C,6.3,C,official_open_data,official_open_data,official_open_data
2025-12-31,13.33,C,72.0,C,4.6,C,official_open_data,official_open_data,official_open_data
