timestamp,date,hour,month,weekday,is_weekend,temperature_c,relative_humidity_percent,global_horizontal_irradiance_wm2,academic_a_hvac_load_kw,academic_a_lighting_load_kw,academic_a_equipment_load_kw,academic_a_lifts_pumps_load_kw,academic_a_other_load_kw,academic_a_total_load_kw,residence_b_hvac_load_kw,residence_b_lighting_load_kw,residence_b_equipment_load_kw,residence_b_lifts_pumps_load_kw,residence_b_other_load_kw,residence_b_total_load_kw,community_hub_c_hvac_load_kw,community_hub_c_lighting_load_kw,community_hub_c_equipment_load_kw,community_hub_c_lifts_pumps_load_kw,community_hub_c_other_load_kw,community_hub_c_total_load_kw,ev_charging_load_kw,total_load_kw,global_solar_daily_mj_m2,bright_sunshine_hours,temperature_c_weather,relative_humidity_percent_weather,global_horizontal_irradiance_wm2_weather,diffuse_horizontal_irradiance_wm2,direct_normal_irradiance_wm2,pv_generation_kw,grid_import_kw,grid_export_kw,battery_charge_kw,battery_discharge_kw,battery_soc_kwh,roof_pv_kw,facade_pv_kw,public_pv_kw,total_available_pv_kw,electricity_purchase_cost_hkd,export_revenue_hkd,operational_carbon_kg,data_classification
2025-07-07 00:00:00,2025-07-07,0,7,0,False,27.119296874972658,81.06146745892072,0.0,111.59364930865716,55.26100685218419,105.74495086359853,18.879108597878187,34.76027397260274,326.23898959492084,100.01553888566927,55.19214989213007,116.19028962249915,27.889802547015687,23.013698630136986,322.3014795774511,18.556146438171897,12.16101014808458,13.606105821291223,4.89745360671548,6.575342465753424,55.796058480016605,21.073840686672575,725.4103683390613,25.42,10.5,27.119296874972658,81.06146745892072,0.0,0.0,0.0,0.0,725.4103683390613,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,761.6808867560144,0.0,275.6559399688433,prospective_design_basis_simulation
2025-07-07 01:00:00,2025-07-07,1,7,0,False,26.493286079440317,82.87009143206977,0.0,108.22774376012505,55.26100685218419,105.74495086359853,18.879108597878187,34.76027397260274,322.8730840463887,93.64492323472884,55.20022670423231,116.20377682272984,27.892911649768838,23.013698630136986,315.9555370415968,17.73173970926571,12.16101014808458,13.606105821291223,4.89745360671548,6.575342465753424,54.971651751110414,21.073871281015535,714.8741441201114,25.42,10.5,26.493286079440317,82.87009143206977,0.0,0.0,0.0,0.0,714.8741441201114,0.0,-0.0,0.0,1400.0,0.0,0.0,0.0,0.0,750.617851326117,0.0,271.6521747656423,prospective_design_basis_simulation
2025-07-07 02:00:00,2025-07-07,2,7,0,False,26.16923904679322,84.34682672232988,0.0,106.51657467802126,55.26100685218419,105.74495086359853,18.879108597878187,34.76027397260274,321.16191496428496,90.60317472068833,55.32326313061057,116.40923126406459,27.94027351570659,23.013698630136986,313.28964126120707,17.312625362400627,12.16101014808458,13.606105821291223,4.89745360671548,6.575342465753424,54.552537404245335,21.07462221844813,710.0787158481854,25.42,10.5,26.16923904679322,84.34682672232988,0.0,0.0,0.0,0.0,710.0787158481854,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,745.5826516405947,0.0,269.82991202231045,prospective_design_basis_simulation
2025-07-07 03:00:00,2025-07-07,3,7,0,False,26.16923904679322,85.39103626009029,0.0,106.51657467802126,55.26100685218419,105.74495086359853,18.879108597878187,34.76027397260274,321.16191496428496,92.46012552282343,56.43888300868462,118.27216783934331,28.369722262376015,23.013698630136986,318.55459726336437,17.312625362400627,12.16101014808458,13.606105821291223,4.89745360671548,6.575342465753424,54.552537404245335,21.08717156163628,715.3562211935309,25.42,10.5,26.16923904679322,85.39103626009029,0.0,0.0,0.0,0.0,715.3562211935309,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,751.1240322532075,0.0,271.83536405354175,prospective_design_basis_simulation
2025-07-07 04:00:00,2025-07-07,4,7,0,False,26.493286079440317,85.93155889099049,0.0,108.22774376012505,55.26100685218419,105.74495086359853,18.879108597878187,34.76027397260274,322.8730840463887,106.16173460279305,62.36815269340216,128.17325832494913,30.652146128077337,23.013698630136986,350.3689903793587,17.73173970926571,12.16101014808458,13.606105821291223,4.89745360671548,6.575342465753424,54.971651751110414,21.229490569102406,749.4432167459602,25.42,10.5,26.493286079440317,85.93155889099049,0.0,0.0,0.0,0.0,1869.4432167459602,0.0,1120.0,0.0,1400.0,0.0,0.0,0.0,0.0,1962.9153775832583,0.0,710.3884223634649,prospective_design_basis_simulation
2025-07-07 05:00:00,2025-07-07,5,7,0,False,27.119296874972658,85.93155889099049,10.29870424010453,111.59364930865716,55.12341818358218,105.74495086359853,18.879108597878187,34.76027397260274,326.10140092631883,147.7805886853273,79.72659597055072,158.0163149173588,37.53164134034873,23.013698630136986,446.06883954372256,18.556146438171897,12.114934257966308,13.606105821291223,4.89745360671548,6.575342465753424,55.74998258989833,22.318987967953444,850.2392110278932,25.42,10.5,27.119296874972658,85.93155889099049,10.29870424010453,3.440139227472609,0.0,7.18468697334869,843.0545240545446,0.0,0.0,0.0,2464.0,2.5176667526864005,3.699466462838881,0.9675537578234084,7.18468697334869,885.2072502572719,0.0,320.3607191407269,prospective_design_basis_simulation
2025-07-07 06:00:00,2025-07-07,6,7,0,False,28.004609832206462,85.39103626009029,144.71517665839963,116.48050998291103,53.32764047727686,105.74495086359853,18.879108597878187,34.76027397260274,329.1924838942674,222.78043148584285,97.89394041857332,204.73659362552723,48.30171553477888,23.013698630136986,596.7263796948592,19.7530786648765,11.513561651389892,13.606105821291223,4.89745360671548,6.575342465753424,56.345542210026515,27.89874046089244,1010.1631462600457,25.42,10.5,28.004609832206462,85.39103626009029,144.71517665839963,48.34009642635742,374.4995454802517,312.6745062324182,756.4360084486801,0.0,58.94736842105264,0.0,2464.0,88.79595259621117,186.76678785660883,37.11176577959823,312.6745062324182,794.2578088711142,0.0,287.44568321049843,prospective_design_basis_simulation
2025-07-07 07:00:00,2025-07-07,7,7,0,False,29.088892336155084,84.34682672232988,337.6747755620703,122.65156237696759,50.7497380841051,105.74495086359853,18.879108597878187,34.76027397260274,332.78563389515216,286.78860666969035,95.27671081163712,229.88615015737847,54.09925350532391,23.013698630136986,689.0644197741668,39.996861125302615,17.10836273793224,20.1785467688641,7.118391870225988,6.575342465753424,90.97750496807836,46.705529481303586,1159.533088118701,25.42,10.5,29.088892336155084,84.34682672232988,337.6747755620703,112.79557257460348,475.71443603454935,578.3268679348644,581.2062201838366,0.0,0.0,-0.0,2520.0,222.1194408975318,267.9446551153987,88.26277192193395,578.3268679348644,784.6283972481796,0.0,220.85836366985794,prospective_design_basis_simulation
2025-07-07 08:00:00,2025-07-07,8,7,0,False,30.29825232603599,82.87009143206977,579.9561099903551,245.93497770792465,66.75219725270607,146.33392190215153,25.6031746738348,34.76027397260274,519.3845455092198,281.57603063942884,66.84326411700263,204.7366127583828,48.30171994533207,23.013698630136986,624.4713260902832,66.53239176542287,19.421789755694522,27.010983319912867,9.42718701806763,6.575342465753424,128.96769432485132,87.03152194966965,1359.8550878740243,25.42,10.5,30.29825232603599,82.87009143206977,579.9561099903551,193.7262899949042,580.08225401281,877.7389086659762,482.11617920804815,0.0,0.0,-0.0,2520.0,380.7427365849883,348.0967377460193,148.89943433496867,877.7389086659762,650.856841930865,0.0,183.2041480990583,prospective_design_basis_simulation
2025-07-07 09:00:00,2025-07-07,9,7,0,False,31.550273917100665,81.06146745892072,717.337256143397,583.1744182982543,105.5358826291882,243.53341591931277,41.7054754614096,34.76027397260274,1008.7094662807676,227.39115884701255,47.857081657856,158.01656208168575,37.53169831728066,23.013698630136986,493.81019953397197,98.04947081023934,22.486176505649468,33.54480960801271,11.635076739120295,6.575342465753424,172.29087612877527,137.37506669949357,1812.1856086430084,25.42,10.5,31.550273917100665,81.06146745892072,717.337256143397,239.61655531156603,580.1209327379386,1004.0989919461468,808.0866166968616,0.0,0.0,-0.0,2520.0,467.32194062722243,355.29045881059704,181.48659250832733,1004.0989919461468,1090.9169325407631,0.0,307.07291434480743,prospective_design_basis_simulation
