month,load_kwh,pv_generation_kwh,grid_import_kwh,grid_export_kwh,peak_grid_import_kw,battery_charge_kwh,battery_discharge_kwh,scenario,configuration
7,1203556.8849307133,151344.94613752488,1056158.7522481554,0.0,2747.65574001357,40480.137999660954,36533.32454469402,conservative,roof_plus_flexileaf_battery
8,1192308.842857548,135203.9082858009,1061185.1570652355,0.0,2752.5740797646417,41848.43583064882,37768.21333716057,conservative,roof_plus_flexileaf_battery
9,1131024.7553792365,150475.37650629054,984342.3904899519,0.0,2567.3727294553105,38902.68325134237,35109.67163433649,conservative,roof_plus_flexileaf_battery
10,1072236.2024273165,153920.68090018167,922064.9850985069,0.0,2266.3703041570243,38456.036629457994,34706.57305808583,conservative,roof_plus_flexileaf_battery
11,886361.3795349033,139845.8422704275,749926.515966298,0.0,1927.1133767892618,34984.396941764826,31573.418239942752,conservative,roof_plus_flexileaf_battery
12,817155.0009252294,135350.3585604567,685235.2906472338,0.0,1421.195987322041,35186.136230370714,31755.487947909565,conservative,roof_plus_flexileaf_battery
1,802030.8758444915,168448.49770904853,637689.2186153814,0.0,1203.4649384260204,42121.44081988032,38014.600339941964,conservative,full_microgrid_v2g
2,719405.6264897069,119971.14686609569,603230.2600973041,0.0,1250.7543969096498,38931.0817814659,35135.30130777297,conservative,full_microgrid_v2g
3,829047.0536279435,137234.2935130286,696121.0336505071,0.0,1470.9490996414568,44187.420877868804,39879.14734227659,conservative,full_microgrid_v2g
4,917377.6300449923,140916.55538127013,780967.2783947737,0.0,1770.9964467357568,46217.47416463148,41711.270433579906,conservative,full_microgrid_v2g
5,1084015.046733087,137653.86309353652,951086.9591313559,0.0,2243.963328702338,48469.492223644556,43743.716731839195,conservative,full_microgrid_v2g
6,1119480.7012048315,142205.48365084664,981894.2313631008,0.0,2409.3392650485043,47374.50060631788,42755.486797201855,conservative,full_microgrid_v2g
7,1203556.8849307133,151344.94613752488,1057108.7844410709,0.0,2674.605889681449,50224.0579269987,45327.21227911632,conservative,full_microgrid_v2g
8,1192308.842857548,135203.9082858009,1062122.7579376756,0.0,2684.1740797646416,51464.85503516284,46447.03166923447,conservative,full_microgrid_v2g
9,1131024.7553792365,150475.37650629054,985283.5392819161,0.0,2494.957399717515,48555.491374051424,43821.33096508142,conservative,full_microgrid_v2g
10,1072236.2024273165,153920.68090018167,923019.3621576927,0.0,2197.970304157024,48244.51928777271,43540.678657214856,conservative,full_microgrid_v2g
11,886361.3795349033,139845.8422704275,750811.4688792581,0.0,1858.713376789262,44060.83707469039,39764.90545990806,conservative,full_microgrid_v2g
